61991CJ0182,Judgment of the Court (Fifth Chamber) of 29 April 1993,Fifth Chamber,  Forafrique Burkinabe SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-182/91,ECLI identifier: ECLI:EU:C:1993:165,12/07/1991,29/04/1993,Burkina Faso; Provisional data,Edward,Lenz,RESP
61991CJ0025,Judgment of the Court (Second Chamber) of 1 April 1993,Second Chamber,  Pesqueras Echebastar SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-25/91,ECLI identifier: ECLI:EU:C:1993:131,25/01/1991,01/04/1993,Spain,Mancini,Gulmann,RESP
61989CJ0370,Judgment of the Court of 2 December 1992,,  Société Générale d'Entreprises Electro-Mécaniques SA (SGEEM) and Roland Etroy v European Investment Bank,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-370/89,ECLI identifier: ECLI:EU:C:1992:482,12/12/1989,02/12/1992,France,Murray,Gulmann,RESP
61989CJ0104,Judgment of the Court of 19 May 1992,,  J,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-104/89 and C-37/90,ECLI identifier: ECLI:EU:C:1992:217,31/03/1989,19/05/1992,Netherlands; Germany,Zuleeg,Van Gerven,RESP
61990CJ0055,Judgment of the Court of 8 April 1992,,  James Joseph Cato v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-55/90,ECLI identifier: ECLI:EU:C:1992:168,07/03/1990,08/04/1992,United Kingdom,Mancini,Darmon,RESP
61990CJ0282,Judgment of the Court of 13 March 1992,,  Industrie- en Handelsonderneming Vreugdenhil BV v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-282/90,ECLI identifier: ECLI:EU:C:1992:124,17/09/1990,13/03/1992,Netherlands,Mancini,Darmon,RESP
61989CJ0063,Judgment of the Court of 18 April 1991,,  Les Assurances du Crédit SA and Compagnie Belge d'Assurance Crédit SA v Council of the European Communities and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-63/89,ECLI identifier: ECLI:EU:C:1991:152,03/03/1989,18/04/1991,Belgium,Grévisse,Tesauro,RESP
61989CJ0046,Judgment of the Court (Fourth Chamber) of 11 October 1990,Fourth Chamber,  Société d'initiatives et de coopération agricoles and Société d'intérêt professionnel des producteurs et expéditeurs de fruits; légumes; bulbes et fleurs d'Ille-et-Vilaine v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-46/89,ECLI identifier: ECLI:EU:C:1990:354,21/02/1989,11/10/1990,France,Kapteyn,Tesauro,RESP
61988CJ0119,Judgment of the Court (First Chamber) of 6 June 1990,First Chamber,  AERPO and others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-119/88,ECLI identifier: ECLI:EU:C:1990:231,18/04/1988,06/06/1990,France; Italy,Joliet,Jacobs,RESP
61987CJ0308,Judgment of the Court (Sixth Chamber) of 27 March 1990,Sixth Chamber,  Alfredo Grifoni v European Atomic Energy Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-308/87,ECLI identifier: ECLI:EU:C:1990:134,09/10/1987,27/03/1990,Italy,Kakouris,Tesauro,RESP
61989CJ0201,Judgment of the Court (Sixth Chamber) of 22 March 1990,Sixth Chamber,  Jean-Marie Le Pen and the Front national v Detlef Puhl and others,  Reference for a preliminary ruling: Cour d'appel de Colmar - France,  Protocol on the Privileges and Immunities of the European Communities - Immunity of members of the European Parliament - Jurisdiction of the Court,  Case C-201/89,ECLI identifier: ECLI:EU:C:1990:133,26/06/1989,22/03/1990,France,Koopmans,Jacobs,RESP
61988CJ0353,Judgment of the Court (Fourth Chamber) of 9 November 1989,Fourth Chamber,  Briantex Sas and Antonio Di Domenico v European Economic Community and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 353/88,ECLI identifier: ECLI:EU:C:1989:415,09/12/1988,09/11/1989,Italy,Koopmans,Jacobs,RESP
61986CJ0326,Judgment of the Court (Second Chamber) of 4 July 1989,Second Chamber,  Benito Francesconi and others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 326/86 and 66/88,ECLI identifier: ECLI:EU:C:1989:282,23/12/1986,04/07/1989,Italy; Belgium; Netherlands,Mancini,Lenz,RESP
61988CJ0020,Judgment of the Court of 30 May 1989,,  SA Roquette frères v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 20/88,ECLI identifier: ECLI:EU:C:1989:221,19/01/1988,30/05/1989,France,Koopmans,Darmon,RESP
61983CJ0169,Judgment of the Court (Second Chamber) of 8 October 1986,Second Chamber,  Gerhardus Leussink and others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 169/83 and 136/84,ECLI identifier: ECLI:EU:C:1986:371,02/08/1983,08/10/1986,,Due,Sir Gordon Slynn,RESP
61982CJ0267,Judgment of the Court (Fifth Chamber) of 24 June 1986,Fifth Chamber,  Développement SA and Clemessy v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 267/82,ECLI identifier: ECLI:EU:C:1986:253,29/09/1982,24/06/1986,France,Kakouris,Mancini,RESP
