61987CJ0219,Judgment of the Court (Sixth Chamber) of 14 June 1989,Sixth Chamber,  Hoogovens Groep BV v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 219/87,ECLI identifier: ECLI:EU:C:1989:241,15/07/1987,14/06/1989,Netherlands,Schockweiler,Lenz,CECA
61987CJ0069,Judgment of the Court (Fifth Chamber) of 22 September 1988,Fifth Chamber,  Società Laminazione a Freddo pA (LAF) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 69/87,ECLI identifier: ECLI:EU:C:1988:437,05/03/1987,22/09/1988,Italy,Moitinho de Almeida,Sir Gordon Slynn,CECA
61985CJ0103,Judgment of the Court (Second Chamber) of 14 July 1988,Second Chamber,  Stahlwerke Peine-Salzgitter AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 103/85,ECLI identifier: ECLI:EU:C:1988:398,22/04/1985,14/07/1988,Germany,O'Higgins,Mischo,CECA
61986CJ0033,Judgment of the Court of 14 July 1988,,  Stahlwerke Peine-Salzgitter AG and Hoogovens Groep BV v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 33; 44; 110; 226 and 285/86,ECLI identifier: ECLI:EU:C:1988:402,07/02/1986,14/07/1988,Germany; Netherlands,O'Higgins,Mischo,CECA
61986CJ0236,Judgment of the Court (Sixth Chamber) of 6 July 1988,Sixth Chamber,  Dillinger Hüttenwerke AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 236/86,ECLI identifier: ECLI:EU:C:1988:367,05/09/1986,06/07/1988,Germany,Rodríguez Iglesias,Darmon,CECA
61987CJ0032,Judgment of the Court of 21 June 1988,,  Industrie Siderurgiche Associate (ISA) and others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 32; 52 and 57/87,ECLI identifier: ECLI:EU:C:1988:328,03/02/1987,21/06/1988,Italy,Bosco,Lenz,CECA
61985CJ0344,Judgment of the Court (Fifth Chamber) of 12 November 1987,Fifth Chamber,  SpA Ferriere San Carlo v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 344/85,ECLI identifier: ECLI:EU:C:1987:486,15/11/1985,12/11/1987,Italy,Galmot,Mancini,CECA
61985CJ0392,Judgment of the Court (Second Chamber) of 27 October 1987,Second Chamber,  Finsider v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 392/85,ECLI identifier: ECLI:EU:C:1987:458,02/12/1985,27/10/1987,Italy,Due,Mancini,CECA
61985CJ0351,Judgment of the Court (Sixth Chamber) of 29 September 1987,Sixth Chamber,  Fabrique de fer de Charleroi SA and Dillinger Hüttenwerke AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 351 and 360/85,ECLI identifier: ECLI:EU:C:1987:392,18/11/1985,29/09/1987,Belgium; Germany,Kakouris,Cruz Vilaça,CECA
61985CJ0340,Judgment of the Court (First Chamber) of 24 September 1987,First Chamber,  Acciaierie e Ferriere di Porto Nogaro SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 340/85,ECLI identifier: ECLI:EU:C:1987:384,14/11/1985,24/09/1987,Italy,Joliet,Sir Gordon Slynn,CECA
