62006CJ0059,Judgment of the Court (Second Chamber) of 6 December 2007,Second Chamber,  Luigi Marcuccio v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-59/06 P,ECLI identifier: ECLI:EU:C:2007:756,30/01/2006,06/12/2007,,Bay Larsen,Kokott,STAT
62006CJ0010,Judgment of the Court (Fourth Chamber) of 29 November 2007,Fourth Chamber,Rafael de Bustamante Tello v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-10/06 P,ECLI identifier: ECLI:EU:C:2007:727,05/01/2006,29/11/2007,,Malenovský,Bot,STAT
62005CJ0012,Judgment of the Court (Sixth Chamber) of 29 November 2007,Sixth Chamber,  Herbert Meister v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-12/05 P-REV,ECLI identifier: ECLI:EU:C:2007:720,05/04/2007,29/11/2007,,Makarczyk,Mengozzi,STAT
62006CJ0009,Judgment of the Court (Fourth Chamber) of 29 November 2007,Fourth Chamber,Tomás Salazar Brier v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-9/06 P,ECLI identifier: ECLI:EU:C:2007:726,05/01/2006,29/11/2007,,Malenovský,Bot,STAT
62006CJ0008,Judgment of the Court (Fourth Chamber) of 29 November 2007,Fourth Chamber,Anna Herrero Romeu v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-8/06 P,ECLI identifier: ECLI:EU:C:2007:725,05/01/2006,29/11/2007,,Malenovský,Bot,STAT
62006CJ0007,Judgment of the Court (Fourth Chamber) of 29 November 2007,Fourth Chamber,  Beatriz Salvador García v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-7/06 P,ECLI identifier: ECLI:EU:C:2007:724,05/01/2006,29/11/2007,,Malenovský,Bot,STAT
62004CJ0227,Judgment of the Court (Grand Chamber) of 11 September 2007,Grand Chamber,  Maria-Luise Lindorfer v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-227/04 P,ECLI identifier: ECLI:EU:C:2007:490,28/05/2004,11/09/2007,,Juhász,Jacobs Sharpston,STAT
62006CJ0213,Judgment of the Court (First Chamber) of 18 July 2007,First Chamber,  European Agency for Reconstruction (EAR) v Georgios Karatzoglou,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-213/06 P,ECLI identifier: ECLI:EU:C:2007:453,08/05/2006,18/07/2007,,Tizzano,Ruiz-Jarabo Colomer,STAT
62005CJ0424,Judgment of the Court (Third Chamber) of 21 June 2007,Third Chamber,  Commission of the European Communities v Sonja Hosman-Chevalier,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-424/05 P,ECLI identifier: ECLI:EU:C:2007:367,29/11/2005,21/06/2007,,Malenovský,Mengozzi,STAT
62005CJ0362,Judgment of the Court (Fourth Chamber) of 7 June 2007,Fourth Chamber,  Jacques Wunenburger v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-362/05 P,ECLI identifier: ECLI:EU:C:2007:322,23/09/2005,07/06/2007,,Lenaerts,Kokott,STAT
62004CJ0373,Judgment of the Court (Second Chamber) of 10 January 2006,Second Chamber,  Commission of the European Communities v Mercedes Alvarez Moreno,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-373/04 P,ECLI identifier: ECLI:EU:C:2006:11,27/08/2004,10/01/2006,,Arestis,Stix-Hackl,STAT
62005CJ0344,Judgment of the Court (Second Chamber) of 9 November 2006,Second Chamber,  Commission of the European Communities v Joël De Bry,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-344/05 P,ECLI identifier: ECLI:EU:C:2006:710,21/09/2005,09/11/2006,,Bay Larsen,Poiares Maduro,STAT
